GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ml,com.mercadolibre.prueba.controller,ProspectController,0,89,0,2,0,22,0,4,0,3
ml,com.mercadolibre.prueba.entidades,Human,11,125,6,14,5,30,5,16,0,11
ml,com.mercadolibre.prueba.entidades,Statistic,4,51,1,1,0,14,1,8,0,8
ml,com.mercadolibre.prueba.entidades,DNAMessage,0,23,0,2,0,8,0,5,0,4
ml,com.mercadolibre.prueba,MlApplication,5,3,0,0,2,1,1,1,1,1
ml,com.mercadolibre.prueba,ServletInitializer,12,0,0,0,2,0,2,0,2,0
ml,com.mercadolibre.prueba.utils,Status,0,10,0,0,0,4,0,3,0,3
ml,com.mercadolibre.prueba.utils,MutantConst,3,0,0,0,1,0,1,0,1,0
ml,com.mercadolibre.prueba.utils,Position,7,38,0,0,2,13,1,8,1,8
ml,com.mercadolibre.prueba.errores,ValidatorException,0,13,0,0,0,6,0,3,0,3
ml,com.mercadolibre.prueba.errores,MainServiceException,0,13,0,0,0,6,0,3,0,3
ml,com.mercadolibre.prueba.errores,ProcessorException,0,13,0,0,0,6,0,3,0,3
ml,com.mercadolibre.prueba.processors,ToUppercaseProcessor,0,40,0,0,0,8,0,3,0,3
ml,com.mercadolibre.prueba.validators,SequenceLengthValidator,0,37,0,4,0,5,0,5,0,3
ml,com.mercadolibre.prueba.validators,MinLengthValidator,0,16,0,2,0,3,0,3,0,2
ml,com.mercadolibre.prueba.validators,AbstractValidator,0,20,0,4,0,6,0,4,0,2
ml,com.mercadolibre.prueba.validators,DNAAllowedTypesValidator,0,32,0,2,0,7,0,3,0,2
ml,com.mercadolibre.prueba.service,ProspectService,63,661,16,44,21,151,18,39,2,25
